Player  ,Pos,GM  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,GA  
"Sheed, Dom",MID,22,320,108,259,9,6,,51,27,26,8
"Gaff, Andrew",MID,21,343,140,234,3,1,,35,16,16,12
"Kelly, Tim",MID,19,245,62,209,6,8,,64,13,17,15
"Redden, Jack",MID,18,208,104,235,3,1,,71,20,13,3
"Naitanui, Nic",RUC,22,154,34,181,3,7,687,65,30,17,10
"Hurn, Shannon",DEF,15,260,103,67,,,,24,9,5,2
"Cripps, Jamie",FWD,22,205,82,109,26,26,,86,17,20,14
"Rotham, Josh",DEF,19,232,161,73,,1,,18,13,17,1
"Cole, Tom",DEF,22,203,105,98,,,,44,14,24,4
"Darling, Jack",FWD,22,176,123,91,42,19,16,53,29,25,11
"Duggan, Liam",DEF,14,188,94,77,,,,30,4,9,5
"Yeo, Elliot",MID,12,150,27,114,3,7,,63,20,20,3
"McGovern, Jeremy",DEF,15,196,111,50,,,9,15,17,9,1
"Nelson, Jackson",DEF,19,176,76,57,,1,,26,4,7,
"Barrass, Tom",DEF,16,168,117,53,,,1,10,14,6,
"Allen, Oscar",FWD,21,154,99,58,28,16,31,39,20,19,11
"Witherden, Alex",DEF,9,166,59,34,1,,,18,4,12,
"Langdon, Zac",FWD,17,81,55,101,6,7,,35,6,14,8
"Kennedy, Josh",FWD,18,131,89,47,41,21,2,21,14,16,15
"Petruccelle, Jack",FWD,17,108,59,69,16,8,,27,5,13,6
"Waterman, Jake",FWD,14,129,89,44,13,8,,27,12,7,6
"Shuey, Luke",MID,7,104,23,56,,1,,30,18,7,4
"Ryan, Liam",FWD,14,116,55,28,24,10,,21,11,9,10
"Edwards, Harry",DEF,10,75,53,28,,,,20,6,6,
"Jones, Jamaine",FWD,15,64,21,37,11,3,,47,11,6,5
"Edwards, Luke",MID,8,57,26,43,,1,,10,5,4,3
"ONeill, Xavier",MID,8,47,16,37,1,1,,15,4,2,2
"Foley, Luke",DEF,6,53,23,21,1,,,7,,3,
"West, Connor",MID,5,35,16,28,1,4,,13,4,7,2
"Williams, Bailey",RUC,6,23,15,12,3,3,50,8,1,7,1
"Winder, Isiah",FWD,1,2,1,3,1,,,1,1,,
